step,queue_length,total_arrivals,total_served,total_dropout,avg_waiting_time,avg_system_time,service_level,dropout_rate,utilization,current_arrival_prob
186,18,90,24,46,27.541666666666668,41.416666666666664,0.26666666666666666,0.5111111111111111,1.0,0.44999999999999996
187,18,91,24,47,27.541666666666668,41.416666666666664,0.26373626373626374,0.5164835164835165,1.0,0.44999999999999996
188,17,92,24,49,27.541666666666668,41.416666666666664,0.2608695652173913,0.532608695652174,1.0,0.44999999999999996
189,16,92,24,50,27.541666666666668,41.416666666666664,0.2608695652173913,0.5434782608695652,1.0,0.44999999999999996
190,15,92,25,50,28.12,41.92,0.2717391304347826,0.5434782608695652,1.0,0.44999999999999996
191,17,94,25,50,28.12,41.92,0.26595744680851063,0.5319148936170213,1.0,0.44999999999999996
192,17,94,25,50,28.12,41.92,0.26595744680851063,0.5319148936170213,1.0,0.44999999999999996
193,17,94,25,50,28.12,41.92,0.26595744680851063,0.5319148936170213,1.0,0.44999999999999996
194,16,94,26,50,28.692307692307693,42.46153846153846,0.2765957446808511,0.5319148936170213,1.0,0.44999999999999996
195,16,95,26,51,28.692307692307693,42.46153846153846,0.2736842105263158,0.5368421052631579,1.0,0.44999999999999996
196,15,95,26,52,28.692307692307693,42.46153846153846,0.2736842105263158,0.5473684210526316,1.0,0.44999999999999996
197,16,96,26,52,28.692307692307693,42.46153846153846,0.2708333333333333,0.5416666666666666,1.0,0.44999999999999996
198,17,97,26,52,28.692307692307693,42.46153846153846,0.26804123711340205,0.5360824742268041,1.0,0.44999999999999996
199,18,98,26,52,28.692307692307693,42.46153846153846,0.2653061224489796,0.5306122448979592,1.0,0.44999999999999996
200,19,99,26,52,28.692307692307693,42.46153846153846,0.26262626262626265,0.5252525252525253,1.0,0.44999999999999996
201,19,99,26,52,28.692307692307693,42.46153846153846,0.26262626262626265,0.5252525252525253,1.0,0.44999999999999996
202,18,99,26,53,28.692307692307693,42.46153846153846,0.26262626262626265,0.5353535353535354,1.0,0.44999999999999996
203,19,100,26,53,28.692307692307693,42.46153846153846,0.26,0.53,1.0,0.44999999999999996
204,21,102,26,53,28.692307692307693,42.46153846153846,0.2549019607843137,0.5196078431372549,1.0,0.44999999999999996
205,21,102,26,53,28.692307692307693,42.46153846153846,0.2549019607843137,0.5196078431372549,1.0,0.44999999999999996
206,20,102,26,54,28.692307692307693,42.46153846153846,0.2549019607843137,0.5294117647058824,1.0,0.44999999999999996
207,21,104,27,54,28.925925925925927,42.629629629629626,0.25961538461538464,0.5192307692307693,1.0,0.44999999999999996
208,22,105,27,54,28.925925925925927,42.629629629629626,0.2571428571428571,0.5142857142857142,1.0,0.44999999999999996
209,23,106,27,54,28.925925925925927,42.629629629629626,0.25471698113207547,0.5094339622641509,1.0,0.44999999999999996
210,22,106,27,55,28.925925925925927,42.629629629629626,0.25471698113207547,0.5188679245283019,1.0,0.44999999999999996
211,23,107,27,55,28.925925925925927,42.629629629629626,0.2523364485981308,0.514018691588785,1.0,0.44999999999999996
212,23,107,27,55,28.925925925925927,42.629629629629626,0.2523364485981308,0.514018691588785,1.0,0.44999999999999996
213,22,108,27,57,28.925925925925927,42.629629629629626,0.25,0.5277777777777778,1.0,0.44999999999999996
214,20,108,27,59,28.925925925925927,42.629629629629626,0.25,0.5462962962962963,1.0,0.44999999999999996
215,20,109,27,60,28.925925925925927,42.629629629629626,0.24770642201834864,0.5504587155963303,1.0,0.44999999999999996
216,22,111,27,60,28.925925925925927,42.629629629629626,0.24324324324324326,0.5405405405405406,1.0,0.44999999999999996
217,21,111,28,60,29.25,43.392857142857146,0.25225225225225223,0.5405405405405406,1.0,0.44999999999999996
218,21,111,28,60,29.25,43.392857142857146,0.25225225225225223,0.5405405405405406,1.0,0.44999999999999996
219,19,111,29,61,29.75862068965517,43.793103448275865,0.26126126126126126,0.5495495495495496,1.0,0.44999999999999996
220,19,111,29,61,29.75862068965517,43.793103448275865,0.26126126126126126,0.5495495495495496,1.0,0.44999999999999996
221,19,111,29,61,29.75862068965517,43.793103448275865,0.26126126126126126,0.5495495495495496,1.0,0.44999999999999996
222,18,111,29,62,29.75862068965517,43.793103448275865,0.26126126126126126,0.5585585585585585,1.0,0.44999999999999996
223,18,111,29,62,29.75862068965517,43.793103448275865,0.26126126126126126,0.5585585585585585,1.0,0.44999999999999996
224,17,112,29,64,29.75862068965517,43.793103448275865,0.25892857142857145,0.5714285714285714,1.0,0.44999999999999996
225,17,112,29,64,29.75862068965517,43.793103448275865,0.25892857142857145,0.5714285714285714,1.0,0.44999999999999996
226,16,112,29,65,29.75862068965517,43.793103448275865,0.25892857142857145,0.5803571428571429,1.0,0.44999999999999996
227,16,113,29,66,29.75862068965517,43.793103448275865,0.25663716814159293,0.584070796460177,1.0,0.44999999999999996
228,15,113,29,67,29.75862068965517,43.793103448275865,0.25663716814159293,0.5929203539823009,1.0,0.44999999999999996
229,15,113,29,67,29.75862068965517,43.793103448275865,0.25663716814159293,0.5929203539823009,1.0,0.44999999999999996
230,16,114,29,67,29.75862068965517,43.793103448275865,0.2543859649122807,0.5877192982456141,1.0,0.44999999999999996
231,15,114,30,67,30.133333333333333,44.13333333333333,0.2631578947368421,0.5877192982456141,1.0,0.44999999999999996
232,14,114,30,68,30.133333333333333,44.13333333333333,0.2631578947368421,0.5964912280701754,1.0,0.44999999999999996
233,15,115,30,68,30.133333333333333,44.13333333333333,0.2608695652173913,0.591304347826087,1.0,0.44999999999999996
234,14,115,31,68,30.483870967741936,44.483870967741936,0.26956521739130435,0.591304347826087,1.0,0.44999999999999996
235,14,115,31,68,30.483870967741936,44.483870967741936,0.26956521739130435,0.591304347826087,1.0,0.44999999999999996
236,14,115,31,68,30.483870967741936,44.483870967741936,0.26956521739130435,0.591304347826087,1.0,0.44999999999999996
237,15,116,31,68,30.483870967741936,44.483870967741936,0.2672413793103448,0.5862068965517241,1.0,0.44999999999999996
238,16,117,31,68,30.483870967741936,44.483870967741936,0.26495726495726496,0.5811965811965812,1.0,0.44999999999999996
239,16,119,31,70,30.483870967741936,44.483870967741936,0.2605042016806723,0.5882352941176471,1.0,0.44999999999999996
240,15,119,31,71,30.483870967741936,44.483870967741936,0.2605042016806723,0.5966386554621849,1.0,0.39999999999999997
241,16,120,31,71,30.483870967741936,44.483870967741936,0.25833333333333336,0.5916666666666667,1.0,0.39999999999999997
242,16,121,31,72,30.483870967741936,44.483870967741936,0.256198347107438,0.5950413223140496,1.0,0.39999999999999997
243,14,121,32,73,30.6875,44.59375,0.2644628099173554,0.6033057851239669,1.0,0.39999999999999997
244,15,122,32,73,30.6875,44.59375,0.26229508196721313,0.5983606557377049,1.0,0.39999999999999997
245,15,123,32,74,30.6875,44.59375,0.2601626016260163,0.6016260162601627,1.0,0.39999999999999997
246,13,123,33,75,30.90909090909091,44.72727272727273,0.2682926829268293,0.6097560975609756,1.0,0.39999999999999997
247,13,123,33,75,30.90909090909091,44.72727272727273,0.2682926829268293,0.6097560975609756,1.0,0.39999999999999997
248,13,123,33,75,30.90909090909091,44.72727272727273,0.2682926829268293,0.6097560975609756,1.0,0.39999999999999997
249,13,123,33,75,30.90909090909091,44.72727272727273,0.2682926829268293,0.6097560975609756,1.0,0.39999999999999997
